book_id,work_id,title,language_code_clean,language_group,text_word_count,clean_description,true_genres,predicted_genres,missed_genres,extra_genres,label_error_count,true_label_count,predicted_label_count,description_length_band,label_cardinality_band
25606902,27237014,"Missy the Werecat (Missy the Werecat, #1)",eng,English,149.0,"Alternate Cover Edition of ASIN B00H2WPGDA When puberty brings on her first Shift, Missy goes into the mountains for two years until finally learning to Change back. She can Change from fully human in one instant to a mountain lion in the next. Everyone assumes her two year disappearance was because she'd been kidnapped by a sexual predator that she managed to kill. She keeps her werecat nature a secret. There is no pack, no pride of other werecats and no alpha. She's a girl with fantastic abilities growing up and learning to do great things in today's world, amongst humans. She only has her instincts to guide her and those drive her to train herself to extremes. She must control those instincts; dampening the wild predator is often necessary. Her raging hormones and enhanced senses require very strong controls; she explores what happens when those controls are relaxed.","fiction | romance | fantasy, paranormal | mystery, thriller, crime | young-adult","fiction | romance | fantasy, paranormal | young-adult | comics, graphic","mystery, thriller, crime","comics, graphic",2,5,5,76–150,4+
7632846,1065006,Priscilla and Aquila,eng,English,46.0,"Priscilla has met a wonderful man, Aquila. When they marry, they make a decision that will challenge and change their lives: the decision to follow Jesus. With the help of their new friend, the Apostle Paul, they will journey together in a non-Christian, Roman world.","fiction | history, historical fiction, biography | romance","fiction | history, historical fiction, biography | young-adult | comics, graphic",romance,"young-adult | comics, graphic",3,3,4,20–75,3
79679,986319,The Disappearance of Childhood,eng,English,116.0,"From the vogue for nubile models to the explosion in the juvenile crime rate, this modern classic of social history and media traces the precipitous decline of childhood in America today and the corresponding threat to the notion of adulthood. Deftly marshaling a vast array of historical and demographic research, Neil Postman, author of Technopoly, suggests that childhood is a relatively recent invention, which came into being as the new medium of print imposed divisions between children and adults. But now these divisions are eroding under the barrage of television, which turns the adult secrets of sex and violence into popular entertainment and pitches both news and advertising at the intellectual level of ten-year-olds.","history, historical fiction, biography | non-fiction | children","fiction | history, historical fiction, biography | non-fiction | mystery, thriller, crime",children,"fiction | mystery, thriller, crime",3,3,4,76–150,3
7968326,13556241,"The Temptress: The Scandalous Life Of Alice, Countess De Janzé",unknown,Unknown,235.0,"In Kenya's 'Happy Valley' in the years spanning the 1920s to the 1940s no one paid too much attention to the privileged colonial set as they farmed their estates, partied until dawn and indulged in extra-marital affairs. Not until Josslyn Hay, Earl of Erroll, was shot dead at the wheel of his Buick in the early hours of 24 January 1941. Some said the good-looking womaniser had it coming. He was a philanderer who could have had any number of enemies among cuckolded husbands who wanted revenge. Ageing Jock Delves Broughton stood trial for Erroll's murder but was acquitted and the mystery remained unsolved - until now. American heiress Alice de Janze had been conducting a clandestine affair with Joss for years. Married into French aristocracy, her stunning beauty was to prove a fatal lure to men of adventure. Previously tried by a French court for shooting one of her lovers, scandal followed her wherever she went. She arrived in Kenya as a newly married Countess in the 1920s, but by 1941 she had turned forty and the years of partying had taken their toll. Pushed aside by Erroll for younger lovers, and increasingly isolated, Alice threw herself into an act of desperation, resulting in his murder and her own tragic demise. The Temptress not only solves the mystery of Josslyn Hay's murder with the utmost conviction - it eloquently paints a portrait of a volatile, captivating woman.","fiction | history, historical fiction, biography | non-fiction | mystery, thriller, crime","fiction | history, historical fiction, biography | mystery, thriller, crime",non-fiction,,1,4,3,151–250,4+
17788401,24878172,Ugly Love,eng,English,131.0,"When Tate Collins meets airline pilot Miles Archer, she knows it isn't love at first sight. They wouldn't even go so far as to consider themselves friends. The only thing Tate and Miles have in common is an undeniable mutual attraction. Once their desires are out in the open, they realize they have the perfect set-up. He doesn't want love, she doesn't have time for love, so that just leaves the sex. Their arrangement could be surprisingly seamless, as long as Tate can stick to the only two rules Miles has for her. Never ask about the past. Don't expect a future. They think they can handle it, but realize almost immediately they can't handle it at all. Hearts get infiltrated. Promises get broken. Rules get shattered. Love gets ugly.",fiction | romance | young-adult,fiction | romance,young-adult,,1,3,2,76–150,3
2817785,2843718,Midnight Bride,eng,English,251.0,"SHE'D ENSLAVE HIM WITH HER PASSION With her youth, beauty, and sizable dowry, Charleston-bred Kellie McBride had her share of ardent suitors eager to wed and bed her, but the headstrong miss was bewitched by the daring exploits of The Falcon--the dashing highwayman who risked his life for the American colonies and always managed to elude capture. Twice now, The Falcon had saved her life at the hands of the despised Redcoats, then set her blood wildly aflame with his scorching kisses--only to vanish again with the moonlight. The next time the raven-haired adventurer appeared at her side, Kellie vowed to unmask her mysterious midnight paramour... and show him she was ready for more than a caress! HE'D SET HER FREE WITH LOVE No one knew of the dangerous double life The Falcon led--or of his secret identity as a British lord with a vengeful score to settle with the Crown. And he planned to keep it that way. Let the willful Kellie try to expose him if she dared; she'd never uncover his deception! Meanwhile, he'd woo her by day as the foppish Lord Blakely Savage ...and ravage her by night as the conquering Falcon! But the first taste of those luscious lips, the first touch of that silken skin soon had him suffering a frenzy of desire only she could quench. And though The Falcon had once vowed to soar forever free, now he burned to make Kellie his own wild Colonial MIDNIGHT BRIDE","history, historical fiction, biography | romance","fiction | history, historical fiction, biography | romance | fantasy, paranormal",,"fiction | fantasy, paranormal",2,2,4,251+,2
8460819,1989113,"Click: One Novel, Ten Authors",unknown,Unknown,105.0,"A video message from a dead person. A larcenous teenager. A man who can stick his left toe behind his head and in his ear. An epileptic girl seeking answers in a fairy tale. A boy who loses everything in World War II, and his brother who loses even more. And a family with a secret so big that it changes everything.The world's best beloved authors each contribute a chapter in the life of the mysterious George ""Gee"" Keane, photographer, soldier, adventurer, and enigma. Under different pens, a startling portrait emerges of a man, his family, and his gloriously complicated tangle of a life.","fiction | history, historical fiction, biography | fantasy, paranormal | mystery, thriller, crime | young-adult | children","fiction | history, historical fiction, biography | mystery, thriller, crime | comics, graphic","fantasy, paranormal | young-adult | children","comics, graphic",4,6,4,76–150,4+
2240254,2246102,Lincoln and Douglas: The Debates That Defined America,unknown,Unknown,320.0,"In 1858, Abraham Lincoln was known as a successful Illinois lawyer who had achieved some prominence in state politics as a leader in the new Republican Party. Two years later, he was elected president and was on his way to becoming the greatest chief executive in American history. What carried this one-term congressman from obscurity to fame was the campaign he mounted for the United States Senate against the country's most formidable politician, Stephen A. Douglas, in the summer and fall of 1858. Lincoln challenged Douglas directly in one of his greatest speeches -- ""A house divided against itself cannot stand"" -- and confronted Douglas on the questions of slavery and the inviolability of the Union in seven fierce debates. As this brilliant narrative by the prize-winning Lincoln scholar Allen Guelzo dramatizes, Lincoln would emerge a predominant national figure, the leader of his party, the man who would bear the burden of the national confrontation. Of course, the great issue between Lincoln and Douglas was slavery. Douglas was the champion of ""popular sovereignty,"" of letting states and territories decide for themselves whether to legalize slavery. Lincoln drew a moral line, arguing that slavery was a violation both of natural law and of the principles expressed in the Declaration of Independence. No majority could ever make slavery right, he argued. Lincoln lost that Senate race to Douglas, though he came close to toppling the ""Little Giant,"" whom almost everyone thought was unbeatable. Guelzo's Lincoln and Douglas brings alive their debates and this whole year of campaigns and underscores their centrality in the greatest conflict in American history. The encounters between Lincoln and Douglas engage a key question in American political life: What is democracy's purpose? Is it to satisfy the desires of the majority? Or is it to achieve a just and moral public order? These were the real questions in 1858 that led to the Civil War. They remain questions for Americans today.","history, historical fiction, biography | non-fiction","history, historical fiction, biography | non-fiction",,,0,2,2,251+,2
7790089,10741585,Beloved Rake,eng,English,128.0,"Although she had spent all her life in Greece, young Serra Costalos was only half Greek -- and she couldn't endure the thought of the cold-blooded, arranged Greek marriage that was all that was in store for her. In fact, she had already run away from home when, quite by chance, she met the English-man Dirk Morgan and discovered that he was looking for a wife. But a wife with a difference. Dirk had to marry in order to inherit a fortune, and, as he was a self-confessed rake and had no intention of changing his ways, he wanted a wife who would leave him alone and not make a nuisance of herself. So Serra and Dirk married. But neither of them got what they expected.",romance,"fiction | history, historical fiction, biography | romance",,"fiction | history, historical fiction, biography",2,1,3,76–150,1
293632,284918,GURPS Cyperpunk: High-Tech Low-Life Roleplaying,unknown,Unknown,27.0,-- The book that was confiscated by the Secret Service because they thought it contained hacking secrets (It doesn't) -- Nominated for the Origins Award for Best Roleplaying Supplement.,fiction,"fiction | fantasy, paranormal | mystery, thriller, crime",,"fantasy, paranormal | mystery, thriller, crime",2,1,3,20–75,1
2629794,2654495,Eleanor of Aquitaine: Lord and Lady,en-us,English,95.0,"These twenty-one chapters by scholars in various fields provide a fresh context for understanding Eleanor of Aquitaine's multi-faceted career and reputation. Her fame (and infamy) still fascinates us. She is a pivotal figure in the history of the twelfth century because of her lordly inheritance as well as the eminence--and political and diplomatic scope--of her marital rank as queen, first of France and then of England. Some essays in this collection reassess the often fragmentary historical information about her life, while others investigate her reputation in later literary and historical contexts.","history, historical fiction, biography | non-fiction | poetry","fiction | history, historical fiction, biography | romance | non-fiction",poetry,fiction | romance,3,3,4,76–150,3
424884,413965,The New Quotable Einstein,unknown,Unknown,325.0,"For the first time in paperback, here is a newly expanded edition of the best-selling book that was hailed as ""setting a new standard"" for quotation books. Tens of thousands of readers have enjoyed ""The Quotable Einstein"" and ""The Expanded Quotable Einstein,"" with translations into twenty-two languages. This updated edition--which appears on the 100th anniversary of Einstein's Special Theory of Relativity and the 50th anniversary of Einstein's death--offers more than 300 new quotations, or over 1,200 altogether. Nearly all are by Einstein himself and a few are about the self-professed ""lone wolf"" ""Time"" magazine named ""Man of the Century"" at the turn of the millennium. ""The New Quotable Einstein"" also includes a new section, ""On Aging,"" and fresh material has been added to the appendix-from a touching account by Helen Dukas of Einstein's last days to a day-by-day summary of Johanna Fantova's telephone conversations with Einstein during the final year and a half of his life. Also included are a poem called ""Einstein,"" by Robert Service; and three virtually unknown verses to the song ""As Time Goes By"" (made famous in the movie ""Casablanca"") that refer to Einstein. New photographs have been selected to introduce each section of the book. Through well-documented quotations and supplementary information, ""The New Quotable Einstein"" provides a bigger and better biographical account of this multifaceted man-as son, husband, father, lover, scientist, philosopher, aging widower, humanitarian, and friend. It shows us even more vividly why the real and imagined Einstein continues to fascinate people across the world into the twenty-first century. 300-plus new quotations, more than 1,200 in all A day-by-day summary of Johanna Fantova's phone conversations with Einstein toward the end of his life A touching account of Einstein's last days A new section, ""On Aging"" Three virtually unknown original verses of the song ""As Time Goes By"" (from the movie ""Casablanca"") that refer to Einstein Robert Service's poem ""Einstein""","history, historical fiction, biography | non-fiction","fiction | history, historical fiction, biography | non-fiction",,fiction,1,2,3,251+,2
10505590,15411457,Laura's Handmade Life,unknown,Unknown,175.0,"The chaotic humor of family life combines with all things crafty, in this feel-good read--with patterns! Laura Lovegrove is leaving behind her seamless life in London. Her architect husband Adi has been relocated to rural Norfolk, a far cry from the ultra-urban life they know. Though Laura knew village life would be different, she didn't foresee a shabby cottage, nosy neighbors, errant poodles, and even an ex turning up. Chris had been her big love at art college and seeing him again is utterly confusing. Is she really so different from the impulsive student who once trawled resale shops for vintage treasures? When a fire all but destroys Laura's collection of vintage clothes, she's heartbroken--and seriously lacking in outfits. But, salvaging what she can, Laura makes do and mends; sewing purses, bags, and even dog leashes. Soon, she's inundated with orders. But Adi is becoming more and more distant, as if there's something he's not telling her. Can Laura make a stitch in time and pull her family back together again?",fiction | romance,fiction | romance | young-adult,,young-adult,1,2,3,151–250,2
11119898,16042608,"Enslaved by a Viking (The New Icelandic Chronicles, #2)",en-us,English,158.0,"His suffering.... Though proud and strong, Eirik, heir to the Ulfhednars kingdom, found himself seduced and taken from his homeworld by a bounty-hunting vixen, who sold him into slavery. Purchased by a wealthy, Consortium-backed brothel, he is kept at a heavily guarded and secure breeding facility, where he is forced to feed the lustful whims of Helios's elite at night. He bides his time, waiting for a chance to escape and get his revenge on the woman who betrayed him... Her satisfaction... Once a sex thrall, Fatin earned her freedom through service. Now, as a bounty hunter, she is determined to earn enough to buy her sister's papers from the same brothel she escaped. For this, she abducts a brutishly handsome, breed-worthy specimen from the Viking planet and delivers him to auction. But her desire for justice and his desire for freedom may consume both of them in a passion neither wanted--or can resist.","fiction | history, historical fiction, biography | romance | fantasy, paranormal","fiction | history, historical fiction, biography | romance | fantasy, paranormal",,,0,4,4,151–250,4+
36107949,57694501,Batman Beyond (2016-) #11,unknown,Unknown,72.0,"""RISE OF THE DEMON"" finale! As past and present collide, Bruce Wayne witnesses the culmination of his legacy. In a shocking twist, the Demon is not Ra's al Ghul. Can his successor be persuaded to stop his plans for worldwide destruction? Will Terry be able to overcome the destructive influence of the new Batman costume and hold on to his soul? High up on a Tibetan mountaintop, the answers will be revealed.","comics, graphic","fiction | fantasy, paranormal | young-adult | comics, graphic",,"fiction | fantasy, paranormal | young-adult",3,1,4,20–75,1
13432412,18932116,Bede - Celtic and Roman christianity in Britain,en-us,English,55.0,"A collection of the biographies and stories of Historical British Celtic saints and churchmen. Translated from the venerable Bede's writings; A History of the English Church and People, Life of Cuthbert and Lives of the Abbots of Wearmouth and Jarrow. Arranged in chapters according to personage and written as a continuous narrative regardless of source.","history, historical fiction, biography","fiction | history, historical fiction, biography | non-fiction | fantasy, paranormal",,"fiction | non-fiction | fantasy, paranormal",3,1,4,20–75,1
12963210,18120957,Web of Angels,eng,English,271.0,"Just as Jodi Picoult tackles controversial contemporary issues in her compelling domestic dramas, in Web of Angelsbestselling novelist Lilian Nattel explores the vivid reality of what used to be called multiple personality disorder. A Vintage Canada trade paperback original. On the surface of things, Sharon Lewis is a lot like any other happily married mother of 3: she is the beating heart of a house full of kids, cooking and chaos, the one who always knows the after-school practice schedule, where her husband put the car keys and who needs a little extra TLC. Her kids and husband think she's a little spooky, actually, the way she can anticipate the tensions of any situation--and maybe they love her all the more for the extra care she gives them. Life is definitely good until the morning Heather Edwards, a pregnant teenaged friend of the family, kills herself. The reverberations of that act, and the ugly secrets that sparked it, prove deeply unsettling to the whole family, and stir up Sharon's own troubling secret: she has DID, or dissociative identity disorder. And the multiples inside the woman the world knows as Sharon seem to know what happened to Heather, and what may be happening to Heather's surviving sister. Will Sharon's need to protect the innocent cause her to finally come clean about her true nature with her family and friends, and not just in the anonymous chat rooms on the web where she's connected to others like herself? Will a woman with DID be able to persuade her quiet and respectable community that evil things can happen even in the nicest homes?","fiction | mystery, thriller, crime","fiction | mystery, thriller, crime",,,0,2,2,251+,2
6819390,7028307,"Her Chosen Wolf (Were Chronicles, #1)",eng,English,207.0,"She chose the wolf she needed and got the man of her dreams. The Were Chronicles, Book 1 Sent to live in the city long ago for her own protection, Saffa has always longed to return to her mountain home. She is a multimorph, and women of her rare bloodline are highly prized by those who aspire to supreme power over the pack. The last thing she wants to be is anyone's stepping stone--especially Bardo Redmaven's. Justice Ambervane would be her first choice...if only he'd stop holding her at arm's length. The wolf within Justice would eagerly take Saffa as his mate, but for secret reason of his own, his human conscience has always resisted. He can't believe Saffa risked coming out of hiding, even to warn him of the disturbing activities of the power-hungry Redmaven clan. She's dangerously close to her first breeding cycle, and giving in to her irresistible scent makes him a marked man. And Saffa even more of a target. What he needs is backup, and there's only one wolf he trusts enough: Drew. As the coming fight backs all three of them into a tight corner, the heat explodes into a passion that Justice wonders if he'll live to regret...","fiction | romance | fantasy, paranormal","fiction | romance | fantasy, paranormal | mystery, thriller, crime",,"mystery, thriller, crime",1,3,4,151–250,3
1734663,1732152,Mother Goose (Little Golden Book),unknown,Unknown,60.0,"Vintage artwork and the classic Disney characters add a world of charm to these perennial Mother Goose nursery rhyme favorites-from ""Peter Pumpkin Eater,"" ""Hey, Diddle, Diddle,"" and ""Little Miss Muffet"" to ""Jack Sprat,"" ""Simple Simon,"" ""Old King Cole,"" and more. This Little Golden Book from the 1940s is a must-have addition to every Little Golden Book collector's library.","fiction | children | comics, graphic | poetry","fiction | fantasy, paranormal | young-adult | children | comics, graphic",poetry,"fantasy, paranormal | young-adult",3,4,5,20–75,4+
22917233,23694335,"The Path of Anger: The Book and The Sword 1 (Le Livre et l'épée, #1)",eng,English,139.0,"There will be blood. There will be death. This is the path of anger... Dun-Cadal has been drinking his life away for years. Betrayed by his friends - who turned their back on their ideals in favour of a new republic - and grief stricken at the loss of his apprentice, who saved his life on the battlefield and whom he trained as a knight in exchange, he's done with politics, with adventure, and with people. But people aren't finished with him - not yet. Viola is a young historian looking for the last Emperor's sword, and her search not only brings her to Dun-Cadal, it's also going to embroil them both in a series of assassinations. Because Dun-Cadal's turncoat friends are being murdered, one by one... By someone who kills in the unmistakable style of an Imperial assassin...","fiction | fantasy, paranormal","fiction | romance | fantasy, paranormal | mystery, thriller, crime",,"romance | mystery, thriller, crime",2,2,4,76–150,2
13086449,18257259,Gone,eng,English,43.0,Greg is having a bad morning. He overslept and is late for work. All he really wants is a good strong cup of joe. He's not going to get it. Things might be going from bad to worse before the day is over...,"fiction | non-fiction | fantasy, paranormal | mystery, thriller, crime",fiction | romance,"non-fiction | fantasy, paranormal | mystery, thriller, crime",romance,4,4,2,20–75,4+
13129082,18305150,The Leveler,eng,English,101.0,"When our world suddenly crumbles apart we are faced with multiple options. We can choose to accept responsibility for our own failures, change what needs to be changed, pick up the pieces and start all over again. Or, we can choose to hold everyone else responsible for our failures and seek revenge. The Leveler is a failed man who chooses not to accept personal responsibility for the miserable way his life has turned out. Pursued by rookie homicide detective Beebe Lawless, The Leveler goes on a week long killing spree seeking revenge against those he feels conspired to ruin his life.","fiction | mystery, thriller, crime","fiction | mystery, thriller, crime | young-adult",,young-adult,1,2,3,76–150,2
11761222,16711916,Berputar dan Terbalik,ind,Non-English,62.0,"Buku ini memberikan contoh-contoh wahana menyenangkan dan penuh ketegangan di taman rekreasi yang menggunakan prinsip-prinsip kerja fisika. Disampaikan secara sederhana dan ringkas, sehingga anak-anak bisa lebih mudah memahami, gaya apa saja yang bekerja pada wahana rekreasi itu. Harapannya, bila anak-anak berkunjung ke taman bermain dan menikmati wahana yang ada di sana, mereka bisa sekaligus belajar dan mengasah pengetahuan.",non-fiction,,non-fiction,,1,1,0,20–75,1
9447403,14332126,"Minerva's Soul (Harry Irons, #3)",eng,English,90.0,"A science fiction action-adventure, final book in the Harry Irons Trilogy. Harry Irons has been infected by the kitzloc, an enigmatic alien species. As a result, he's losing his mind. It's a race against time as Harry and his team attempt to locate one of the creatures in the sands of the Great Wahabi, a desert on the newly colonized world of Mirabel. A difficult task becomes impossible as they encounter disgruntled colonists, a security force from Earth, off-world aliens, and the mind-bending powers of the kitzloc.","fiction | fantasy, paranormal","fiction | history, historical fiction, biography | fantasy, paranormal",,"history, historical fiction, biography",1,2,3,76–150,2
8018332,12585474,Enciklopedijski rečnik moderne lingvistike,srp,Non-English,97.0,"Ovaj recnik spada u siroko koriscen prirucnik i obuhvata transformaciono-generativnu gramatiku, tekstualnu lingvistiku, semantiku, pragmatiku, fonetiku i fonologiju. U njemu je velika kolicina informacija sistemski data na malom prostoru, a preglednosti doprinose i prikladna graficka resenja i pristupacan i jasan jezik. Ovaj izuzetno koristan prirucnik namenjen je svima koji se na bilo koji nacin bave modernom lingvistikom, ili se za nju interesuju, bilo iz amaterskim ili profesionalnih razloga. Njime se mogu da koristiti lingvisti raznih opredeljenja, strucnjaci srodnih disciplina, predavaci nastave na visim stepenima, kao i studenti lingvistike i pojedinih jezika, a posebno studenti poslediplomskih studija.",non-fiction,"fiction | history, historical fiction, biography | non-fiction",,"fiction | history, historical fiction, biography",2,1,3,76–150,1
2872385,137050,A Friendship For Today,unknown,Unknown,94.0,"The year is 1954, the place is Missouri, and twelve-year-old Rosemary Patterson is about to make history. She is one of the first African American students to enter the white school in her town. Headstrong, smart Rosemary welcomes the challenge, but starting this new school gets more daunting when her best friend is hospitalized for polio. Suddenly, Rosemary must face all the stares and whispers alone. But when the girl who has shown her the most cruelty becomes an unlikely confidante, Rosemary learns important truths about the power of friendship to overcome prejudice.","fiction | history, historical fiction, biography | young-adult | children","fiction | history, historical fiction, biography | young-adult | children",,,0,4,4,76–150,4+
23852,1235221,Breeder,unknown,Unknown,115.0,"From Douglas Clegg, award-winning author of The Priest of Blood and Afterlife, comes a nightmarish vision of Washington, D.C.-where shadows and mystery linger in the alleys, and where the haunts of the past come to life. This House has a Name ...Rachel Adair thought Draper House in Washington, D.C, would be the perfect place for her and her husband, Hugh, to try and start a family. But as soon they moved into the century-old townhouse, the nightmares began: horrific images of the child Rachel lost; the unforgivable sins of Hugh's father; scenes of blood-curdling rituals ...and the scraping sounds of an even greater terror that lives within the walls ...","fiction | fantasy, paranormal","fiction | fantasy, paranormal | mystery, thriller, crime | comics, graphic",,"mystery, thriller, crime | comics, graphic",2,2,4,76–150,2
