book_id,work_id,title,language_group,text_word_count,true_genres,predicted_genres,label_error_count
1012725,1533750,Outcasts of Poker Flats L,Unknown,28,"fiction | history, historical fiction, biography | young-adult",fiction | children,3
1012886,999010,Comedy by the Numbers: The 169 Secrets of Humor and Popularity,English,174,fiction | non-fiction,non-fiction,1
10128862,1877851,Quando Hitler rubò il coniglio rosa,Non-English,61,"fiction | history, historical fiction, biography | non-fiction | young-adult | children","fiction | history, historical fiction, biography | romance | young-adult",3
10129076,15026930,The Demon Catcher,English,155,"fiction | history, historical fiction, biography | romance | fantasy, paranormal | mystery, thriller, crime","fiction | romance | fantasy, paranormal | mystery, thriller, crime",1
10129271,15027127,Die Hexen,Non-English,79,"fiction | history, historical fiction, biography | fantasy, paranormal | young-adult","fiction | romance | fantasy, paranormal | mystery, thriller, crime | young-adult",3
10129926,526345,When the Wind Blows,English,57,"fiction | fantasy, paranormal | mystery, thriller, crime","fiction | fantasy, paranormal | mystery, thriller, crime | children",1
10130220,15028086,Thea Stilton and the Star Castaways (Thea Stilton #7),English,80,"fiction | fantasy, paranormal | mystery, thriller, crime | children","fiction | fantasy, paranormal | children | comics, graphic",2
10131015,4074285,Mama's Boy and Other Dark Tales,English,53,"fiction | fantasy, paranormal","fiction | fantasy, paranormal",0
10131630,15029525,Vetting: The Making of a Veterinarian,English,284,"history, historical fiction, biography | non-fiction",non-fiction,1
1013333,999457,The Art of Inlay: Design & Technique for Fine Woodworking,Unknown,80,non-fiction,"non-fiction | comics, graphic",1
10134532,1024393,The Kids Guide to Social Action (EasyRead Edition): How to Solve the Social Problems You Chooseand Turn Creative Thinking into Positive Action,Unknown,49,non-fiction | children,non-fiction | children,0
10135789,15033744,Damaged Goods,English,203,"fiction | history, historical fiction, biography | non-fiction | mystery, thriller, crime","fiction | romance | fantasy, paranormal | young-adult",6
10136200,15034175,You and Your Future,Unknown,203,non-fiction,non-fiction,0
10136641,15034618,Bowhunting,Unknown,53,non-fiction,non-fiction,0
10140560,15038676,The Warrior King,Unknown,178,fiction,"fiction | history, historical fiction, biography | mystery, thriller, crime",2
1014824,2029192,Tiger and Tom and Other Stories for Boys,English,67,fiction | young-adult | children,"history, historical fiction, biography | non-fiction | children",4
10152139,14162403,The Mendacity of Hope: Barack Obama and the Betrayal of American Liberalism,Unknown,314,"history, historical fiction, biography | non-fiction","history, historical fiction, biography | non-fiction",0
10155030,1118162,When He Was Wicked (Bridgerton #6),Unknown,198,"fiction | history, historical fiction, biography | romance","fiction | history, historical fiction, biography | romance",0
10155566,17413130,Death in Venice,Unknown,112,"fiction | history, historical fiction, biography | romance","fiction | history, historical fiction, biography | fantasy, paranormal | poetry",3
10156881,3254516,Mucchio d'ossa,Non-English,105,"fiction | romance | fantasy, paranormal | mystery, thriller, crime | children","fiction | mystery, thriller, crime",3
10157868,15056340,"Muslim Girls: Wer wir sind, wie wir leben",Non-English,171,"history, historical fiction, biography | non-fiction",romance,3
10158638,15057119,The Immortal Six Hundred: A Story of Cruelty to Confederate Prisoners of War,English,80,"history, historical fiction, biography","history, historical fiction, biography | non-fiction",1
10161472,1059644,The Righteous Men,Unknown,247,"fiction | history, historical fiction, biography | mystery, thriller, crime","fiction | fantasy, paranormal | mystery, thriller, crime",2
10163948,15062594,Jack & Alice: Ozi e vizi a Pammydiddle,Non-English,327,"fiction | history, historical fiction, biography","fiction | history, historical fiction, biography",0
10166662,15065390,The Impostor,Unknown,33,"history, historical fiction, biography | romance","fiction | history, historical fiction, biography",2
10170028,2122285,The High Lord,English,142,"fiction | romance | fantasy, paranormal | young-adult","fiction | romance | fantasy, paranormal | mystery, thriller, crime | young-adult",1
1017254,1003378,Dress Gray,Unknown,38,"fiction | history, historical fiction, biography | mystery, thriller, crime","fiction | history, historical fiction, biography | young-adult",2
10174503,1625515,The Republic,English,155,"fiction | history, historical fiction, biography | non-fiction","fiction | history, historical fiction, biography | non-fiction",0
10174795,15073624,"Glow (Sky Chasers, #1)",English,218,"fiction | romance | fantasy, paranormal | young-adult","fiction | romance | fantasy, paranormal | mystery, thriller, crime | young-adult",1
10176147,823086,Rasputin's Daughter,Unknown,91,"fiction | history, historical fiction, biography | mystery, thriller, crime | comics, graphic","fiction | history, historical fiction, biography | non-fiction",3
1017625,966018,Freedoms Choice,Unknown,114,"fiction | romance | fantasy, paranormal","fiction | history, historical fiction, biography | fantasy, paranormal | children",3
10178528,15077424,Fifty Fifty,English,47,"fiction | mystery, thriller, crime","history, historical fiction, biography",3
1017883,1004007,The Future is Queer: A Science Fiction Anthology,Unknown,82,"fiction | romance | fantasy, paranormal | young-adult","fiction | non-fiction | fantasy, paranormal | comics, graphic",4
10181996,894955,"Cards on the Table (Hercule Poirot, #15)",Unknown,91,"fiction | history, historical fiction, biography | mystery, thriller, crime","fiction | mystery, thriller, crime",1
10184242,15083268,The Ground Is Burning,English,159,"fiction | history, historical fiction, biography","fiction | history, historical fiction, biography | mystery, thriller, crime",1
10184781,462648,"Charm City (Tess Monaghan, #2)",Unknown,406,"fiction | mystery, thriller, crime","fiction | romance | mystery, thriller, crime",1
1018482,1004606,African Princess: The Amazing Lives of Africa's Royal Women,Unknown,103,"history, historical fiction, biography | non-fiction | young-adult | children","fiction | history, historical fiction, biography | non-fiction | fantasy, paranormal",4
10187039,104,Inés dell'anima mia,Non-English,222,"fiction | history, historical fiction, biography | romance | non-fiction","fiction | history, historical fiction, biography | romance",1
10189376,15088473,A Giant's Friend,English,122,"history, historical fiction, biography | romance | fantasy, paranormal","fiction | history, historical fiction, biography | romance | fantasy, paranormal",1
10189970,858967,"The Riddle (Pellinor, #2)",English,96,"fiction | romance | fantasy, paranormal | young-adult | children","fiction | romance | fantasy, paranormal | mystery, thriller, crime | young-adult",2
10191293,13658944,"Heart's Sentinel (Terra's Guardians, #1)",Unknown,115,"fiction | romance | fantasy, paranormal","romance | fantasy, paranormal",1
10192574,14998875,"Swarm (Star Force, #1)",Unknown,108,"fiction | fantasy, paranormal","fiction | fantasy, paranormal | mystery, thriller, crime",1
10193360,15092516,"The Traitor's Daughter (The Veiled Isles Trilogy, #1)",English,196,"fiction | history, historical fiction, biography | romance | fantasy, paranormal | mystery, thriller, crime | young-adult","fiction | history, historical fiction, biography | romance | fantasy, paranormal | mystery, thriller, crime",1
1019369,1808852,The Little Friend,Unknown,239,"fiction | history, historical fiction, biography | mystery, thriller, crime","fiction | history, historical fiction, biography | romance | mystery, thriller, crime | young-adult",2
10194632,15093808,Spies and Prejudice,English,170,"fiction | romance | mystery, thriller, crime | young-adult","fiction | romance | mystery, thriller, crime",1
10195527,12191,Lose Weight Now: The Easy Way,English,105,non-fiction,non-fiction,0
1019601,3428728,The Book of Laughter and Forgetting,Unknown,94,"fiction | history, historical fiction, biography | romance | non-fiction","history, historical fiction, biography | non-fiction",2
10198353,3364505,Paper Towns: waar is Margo Roth Spiegelman?,Non-English,117,"fiction | romance | mystery, thriller, crime | young-adult","fiction | mystery, thriller, crime",2
1019872,2547187,Of Human Bondage,English,173,"fiction | history, historical fiction, biography | romance","fiction | history, historical fiction, biography | romance",0
101991,98332,The Throne of Bones,Unknown,213,"fiction | fantasy, paranormal | mystery, thriller, crime","fiction | fantasy, paranormal",1
1020225,1006352,The Ship of Widows,Unknown,190,"fiction | history, historical fiction, biography","fiction | history, historical fiction, biography | non-fiction",1
10202408,13534790,The Dead of Winter,English,33,"fiction | history, historical fiction, biography | fantasy, paranormal | mystery, thriller, crime | young-adult | children","fiction | fantasy, paranormal | mystery, thriller, crime | young-adult | children",1
10202570,15101881,Hayat,Non-English,120,"history, historical fiction, biography | non-fiction","fiction | history, historical fiction, biography | non-fiction",1
1020678,1006805,Building with Stone,Unknown,71,non-fiction,non-fiction,0
1020716,1304744,Sticky Beak,Unknown,31,fiction | young-adult | children,fiction | romance | young-adult | children,1
1020780,62899,I is for Innocent,English,462,"fiction | mystery, thriller, crime","fiction | mystery, thriller, crime",0
10211584,34271,"Lose Weight, Have More Energy and Be Happier in 10 Days: Take Charge of Your Health with the Master Cleanse",English,493,non-fiction,non-fiction,0
1021221,1007323,"Tourist Trap (Edgar & Ellen, #2)",Unknown,58,"fiction | fantasy, paranormal | children | comics, graphic",fiction,3
10217225,15116821,"Churchill's War Lab: Code Breakers, Boffins and Innovators: the Mavericks Who Brought Britain Victory",Unknown,40,"history, historical fiction, biography | non-fiction","history, historical fiction, biography | non-fiction",0
10217489,15117088,"Putting Out Fires (Coda Books, #4.5)",English,56,fiction | romance,romance | children,2
10220557,15120208,"Likeable Social Media: How to Delight Your Customers, Create an Irresistible Brand, and Be Generally Amazing on Facebook",Unknown,246,non-fiction,non-fiction,0
10221259,6700008,Heart Of Stone,English,66,romance,"fiction | history, historical fiction, biography | romance",2
10221387,182095,Europe in the Twentieth Century,Unknown,39,"history, historical fiction, biography | non-fiction","history, historical fiction, biography | non-fiction | comics, graphic",1
10223916,3656764,L'Infiltré,Unknown,160,"fiction | mystery, thriller, crime","fiction | history, historical fiction, biography | mystery, thriller, crime",1
10224021,15123782,Children of the Revolution: The Glam Rock Story 1970-1975,English,152,"history, historical fiction, biography","history, historical fiction, biography | non-fiction",1
10224044,15123805,My Little Kitty (Purrfect Mates #2),English,155,"fiction | romance | fantasy, paranormal","romance | fantasy, paranormal",1
10224064,15123825,"Torched (Hellesgate, #1)",English,186,"romance | mystery, thriller, crime","fiction | history, historical fiction, biography | romance | fantasy, paranormal",4
10224887,16963807,"The Iron Khan (Detective Inspector Chen, #5)",English,68,"fiction | fantasy, paranormal | mystery, thriller, crime","fiction | fantasy, paranormal | young-adult",2
10225075,2992190,Immoral Darkness,Unknown,77,"fiction | romance | fantasy, paranormal",romance,2
1022559,1008686,"A Charlie Salter Omnibus (Charlie Salter, #1-3)",English,101,"mystery, thriller, crime","fiction | mystery, thriller, crime",1
10229008,15128847,Tales from My Hard Drive,Unknown,226,fiction | romance,fiction | romance,0
1022971,3211895,Year Of Wonders,English,199,"fiction | history, historical fiction, biography | romance | young-adult","fiction | history, historical fiction, biography | fantasy, paranormal | young-adult",2
1023006,859111,"The Bourne Identity (Jason Bourne, #1)",English,166,"fiction | mystery, thriller, crime","fiction | fantasy, paranormal | mystery, thriller, crime",1
10230496,7272904,Bad Intentions,English,194,"fiction | mystery, thriller, crime","fiction | mystery, thriller, crime",0
10230796,15130669,Lord Of Thieves,English,147,"history, historical fiction, biography | fantasy, paranormal","fiction | history, historical fiction, biography | romance | mystery, thriller, crime",4
10232119,15132023,Hard Press'd (Preston Andrews Mystery #1),English,286,"fiction | romance | mystery, thriller, crime","fiction | mystery, thriller, crime",1
1023377,681885,"Dragons of the Highlord Skies (Dragonlance: The Lost Chronicles, #2)",Unknown,237,"fiction | romance | fantasy, paranormal | young-adult","fiction | fantasy, paranormal | mystery, thriller, crime | young-adult",2
10239105,1618080,To Build a Fire,Unknown,20,"fiction | history, historical fiction, biography | young-adult | children","fiction | history, historical fiction, biography",2
10239382,15139399,The Ritual,English,130,"fiction | fantasy, paranormal | mystery, thriller, crime","fiction | fantasy, paranormal | young-adult",2
10241401,15141448,Everything I Need to Know I Learned from Dungeons & Dragons  - One Woman's Quest to Trade Self-Help for Elf-Help,English,32,"fiction | history, historical fiction, biography | non-fiction | fantasy, paranormal | comics, graphic","non-fiction | comics, graphic",3
1024489,1913966,The Corsair [Easyread Edition],Unknown,59,"fiction | history, historical fiction, biography | romance | non-fiction | poetry",fiction | poetry,3
10245903,15145999,"To Seduce an Angel (Sons of Sin, #3)",Unknown,137,"fiction | history, historical fiction, biography | romance | children","fiction | romance | fantasy, paranormal | young-adult",4
10246342,15146445,Soccer Hour,Unknown,47,fiction | non-fiction | children | poetry,non-fiction,3
10247429,2327820,"Tatuagem (Wicked Lovely, #2)",English,135,"fiction | romance | fantasy, paranormal | young-adult",fiction | romance | young-adult,1
1024783,909062,The Valley of Secrets,Unknown,80,"fiction | history, historical fiction, biography | fantasy, paranormal | mystery, thriller, crime | young-adult | children","fiction | history, historical fiction, biography | fantasy, paranormal | children",2
10248662,6394431,You Are Here: A Portable History of the Universe,Unknown,116,"history, historical fiction, biography | non-fiction","history, historical fiction, biography | non-fiction | poetry",1
10250497,290588,Lady of Hay,English,101,"fiction | history, historical fiction, biography | romance | fantasy, paranormal | mystery, thriller, crime","fiction | history, historical fiction, biography | romance | mystery, thriller, crime",1
10252107,6509457,Beauty: A Very Short Introduction,English,167,"history, historical fiction, biography | non-fiction","history, historical fiction, biography | non-fiction",0
1025309,1011548,Easy Orchids: Simple Secrets for Glorious Gardens--Indoors and Out,Unknown,120,non-fiction,non-fiction | children,1
10257765,15158050,Recruiting Young Love: How Christians Talk about Homosexuality,English,237,"history, historical fiction, biography | non-fiction","history, historical fiction, biography | non-fiction",0
1025804,404183,The Fleet That Had to Die,Unknown,70,"history, historical fiction, biography | non-fiction","fiction | history, historical fiction, biography | non-fiction | fantasy, paranormal | mystery, thriller, crime | young-adult | children | comics, graphic",6
1025854,1012098,Only A Mother Could Love Him: How I Lived With And Triumphed Over Adhd,English,49,"history, historical fiction, biography | non-fiction",fiction | non-fiction,2
10260631,15160956,Remnant,Unknown,38,"fiction | romance | fantasy, paranormal | poetry",fiction,3
1026299,1012544,Zlata's Diary,English,272,"fiction | history, historical fiction, biography | non-fiction | young-adult | children | comics, graphic","fiction | history, historical fiction, biography | young-adult",3
1026341,41326609,The Adventures of Tom Sawyer,English,140,"fiction | history, historical fiction, biography | young-adult | children","fiction | history, historical fiction, biography | mystery, thriller, crime",3
10263592,1304282,Body Art,Non-English,74,fiction,"fiction | mystery, thriller, crime | young-adult",2
1026412,1012657,The Empire of the Steppes: A History of Central Asia,English,106,"history, historical fiction, biography | non-fiction","history, historical fiction, biography | non-fiction",0
102658,98977,"The Chronicles of Conan, Volume 11: The Dance of the Skull and Other Stories",Unknown,99,"fiction | fantasy, paranormal | comics, graphic","fiction | history, historical fiction, biography | fantasy, paranormal | comics, graphic",1
102668,98987,The Diviners,Unknown,206,"fiction | history, historical fiction, biography | fantasy, paranormal","fiction | history, historical fiction, biography",1
1026689,1987621,Dark Gold,Unknown,382,"fiction | mystery, thriller, crime","fiction | fantasy, paranormal | mystery, thriller, crime",1
10275437,973811,Daughters of the River Huong: Stories of a Vietnamese Royal Concubine and Her Descendants,English,153,"fiction | history, historical fiction, biography","fiction | history, historical fiction, biography",0
10276949,1459826,Secret Surrogate,Unknown,128,"fiction | romance | mystery, thriller, crime","fiction | romance | mystery, thriller, crime",0
10283651,13380504,Mission Unstoppable,Unknown,124,"fiction | fantasy, paranormal | mystery, thriller, crime | young-adult | children","fiction | fantasy, paranormal | mystery, thriller, crime | young-adult | children",0
102839,956292,Nobrow: The Culture of Marketing + The Marketing of Culture,Unknown,136,"history, historical fiction, biography | non-fiction","history, historical fiction, biography | non-fiction | comics, graphic",1
10285237,41231,Dark Watch,Non-English,29,"fiction | history, historical fiction, biography | mystery, thriller, crime","fiction | romance | fantasy, paranormal | mystery, thriller, crime | comics, graphic",4
10290303,1266400,Os Mistérios dos Druidas: Sabedoria Antiga Para o Século XXI,Non-English,221,"history, historical fiction, biography | non-fiction","fiction | history, historical fiction, biography",2
10294597,2674340,"The Kiss (Widows Club, #2)",Unknown,135,"fiction | history, historical fiction, biography | romance | fantasy, paranormal | children","fiction | history, historical fiction, biography | romance",2
1029506,41450935,Reduced Circumstances,Unknown,185,"fiction | mystery, thriller, crime","fiction | fantasy, paranormal | mystery, thriller, crime",1
10297159,2095412,Nog niet dood (Inspector Winter #9),Non-English,108,"fiction | mystery, thriller, crime","fiction | mystery, thriller, crime",0
1029782,1016038,Geschichte des Osmanischen Reiches,Non-English,886,"history, historical fiction, biography","fiction | history, historical fiction, biography",1
1029897,1016153,Two of a Kind?,English,108,"fiction | mystery, thriller, crime | young-adult",fiction | romance,3
10303824,1319935,La nausea,Non-English,234,fiction | non-fiction,"fiction | history, historical fiction, biography",2
10304303,15206309,Walls: Why Everybody's Stuck (and Nobody Has to Be),Unknown,168,non-fiction,non-fiction,0
10304969,876183,Meister ja Margarita,Non-English,81,"fiction | history, historical fiction, biography | romance | fantasy, paranormal | mystery, thriller, crime","fiction | history, historical fiction, biography",3
10305082,950198,La Quarta Verità,Non-English,112,"fiction | history, historical fiction, biography | fantasy, paranormal | mystery, thriller, crime","fiction | mystery, thriller, crime",2
1030548,1016805,Neighboring Faiths: A Christian Introduction to World Religions,Unknown,101,"history, historical fiction, biography | non-fiction",non-fiction,1
103071,1433499,The Beast in the Garden: The True Story of a Predator's Deadly Return to Suburban America,English,141,"history, historical fiction, biography | non-fiction","fiction | history, historical fiction, biography | non-fiction",1
10310907,15213113,Heart of the Raven / The Sultan's Bed,English,103,fiction | romance,romance,1
1031229,1017491,"Beam Me Up, Scotty",Unknown,218,"fiction | history, historical fiction, biography | non-fiction","history, historical fiction, biography | non-fiction | comics, graphic",2
10312563,10527692,Angel Lost,English,222,"fiction | romance | mystery, thriller, crime","fiction | mystery, thriller, crime",1
1031271,61671,Populärmusik från Vittula,Non-English,88,"fiction | history, historical fiction, biography | young-adult",,3
10312746,13499381,La sposa normanna,Non-English,116,"fiction | history, historical fiction, biography","fiction | history, historical fiction, biography",0
10313244,15215500,Judgement,English,71,"fiction | history, historical fiction, biography | fantasy, paranormal","fantasy, paranormal",2
1031332,1017593,The Covenant,English,94,"fiction | history, historical fiction, biography","fiction | history, historical fiction, biography",0
1031461,1017724,Stone Soup,English,48,"fiction | fantasy, paranormal | young-adult | children",fiction | children,2
10318314,15220655,"Tropical Heat (Immortal Paradise, #2)",Unknown,133,"fiction | romance | fantasy, paranormal","fiction | history, historical fiction, biography | romance | fantasy, paranormal",1
10318580,15220925,Ghostface Volume 1,Unknown,81,"mystery, thriller, crime | comics, graphic","fiction | fantasy, paranormal | mystery, thriller, crime",3
1031896,3409,Anyone But You,English,211,fiction | romance,fiction | romance,0
10320685,362430,La stirpe dell’aquila,Non-English,75,"fiction | history, historical fiction, biography | fantasy, paranormal","fiction | fantasy, paranormal",1
10321056,4830806,La strada di Swann,Non-English,247,fiction | romance,"fiction | history, historical fiction, biography | non-fiction",3
10321398,2548001,The Law: The Classic Blueprint for a Free Society,English,391,"history, historical fiction, biography | non-fiction","history, historical fiction, biography | non-fiction",0
10322924,1498146,In viaggio con Erodoto,Non-English,119,"fiction | history, historical fiction, biography | non-fiction","fiction | history, historical fiction, biography",1
10324359,14554986,"Legend of the Mer (Legend of the Mer, #1)",English,209,"fiction | romance | fantasy, paranormal | young-adult","fiction | history, historical fiction, biography | romance | young-adult",2
1032890,4835472,El Alquimista,Non-English,70,"fiction | history, historical fiction, biography | romance | non-fiction | fantasy, paranormal | young-adult","fiction | history, historical fiction, biography | romance | fantasy, paranormal",2
103298,99589,The Seven Continents,Unknown,83,non-fiction | children,"history, historical fiction, biography | non-fiction | young-adult | children",2
1033135,1019421,The 24-Carrot Manager,Unknown,68,non-fiction,non-fiction,0
10333163,2121201,Le pietre magiche di Shannara,Non-English,95,"fiction | romance | fantasy, paranormal | young-adult","fiction | fantasy, paranormal",2
10334321,2501537,"Witness in Death (In Death, #10)",English,42,"fiction | romance | fantasy, paranormal | mystery, thriller, crime","fiction | mystery, thriller, crime",2
10334756,171021,Letters from the Earth: Uncensored Writings,English,179,"fiction | history, historical fiction, biography | non-fiction | fantasy, paranormal","history, historical fiction, biography | non-fiction",2
10335398,15237992,Wee on a Jellyfish Sting and Other Lies That Grown-Ups Tell You,English,38,non-fiction | children,fiction | children,2
